province,make,model,model_year,condition,vehicles,price_p10,price_p25,price_median,price_p75,price_p90,price_mean,mileage_median,days_on_market_median
AB,Acura,ADX,2025,New,16,49000,50516,51990,52630,52930,51431,20,58
AB,Acura,ADX,2025,Used,23,41599,42448,43995,46448,49931,44612,10129,40
AB,Acura,ADX,2026,New,213,48525,52990,54575,57990,58230,54913,14,55
AB,Acura,Integra,2026,New,36,44670,46490,50285,51149,61945,50894,12,59
AB,Acura,MDX,2016,Used,11,15998,17448,18988,21450,21999,19237,168145,18
AB,Acura,MDX,2017,Used,12,18136,18791,21494,25891,26789,22678,155547,30
AB,Acura,MDX,2019,Used,10,21966,23100,28492,30748,32990,27547,142126,24
AB,Acura,MDX,2020,Used,11,27995,28948,34998,36494,41708,33920,113642,37
AB,Acura,MDX,2022,Used,13,37596,43598,45907,46995,47998,44782,84658,24
AB,Acura,MDX,2023,Used,18,46855,48999,50245,54371,59926,51768,72980,58
AB,Acura,MDX,2024,Used,22,47388,49995,51995,53990,58858,53061,52713,55
AB,Acura,MDX,2025,Used,31,57782,58642,59495,60692,64499,59972,30839,59
AB,Acura,MDX,2026,New,190,73005,76490,77538,82688,83538,79461,12,24
AB,Acura,RDX,2019,Used,15,26683,28438,31760,32800,34952,30778,106781,24
AB,Acura,RDX,2021,Used,11,32985,33244,35689,36342,40499,35702,92160,36
AB,Acura,RDX,2023,Used,14,40500,41990,43496,44998,45866,43115,61078,36
AB,Acura,RDX,2024,Used,39,42868,45700,47500,49752,52098,47215,39259,40
AB,Acura,RDX,2025,Used,24,51154,51990,52997,53620,54866,52989,26402,33
AB,Acura,RDX,2026,New,24,62213,63478,67075,68790,68790,66070,16,59
AB,Alfa Romeo,Stelvio,2026,New,23,69790,72290,73290,73290,74040,72599,18,55
AB,Alfa Romeo,Tonale,2026,New,13,61130,61930,62840,63030,63430,62541,14,55
AB,Audi,A3,2026,New,10,53261,55282,61653,62746,63360,59645,27,58
AB,Audi,A3,2026,Used,11,35988,36344,36909,40354,49990,40454,14527,43
